Unnamed: 0,Author,Title,HD_D,Average_TFIDF,AuthorRus,Rating,Emotional,Length,AvgWordLength,AvgSentenceLength,LongWordRatio,LexicalDiversity,SentimentScore,VerbRatio,AdjRatio,QuotesCount,NegationCount,ExclamationCount,AbstractNounRatio
34,Chekhov,Агафья,0.8990524764404311,0.0001574220721443,Чехов,4.068,0.1771771771771771,18893,5.402,7.923,0.196,0.605,,,0.115,12,75,51,0.0105
35,Chekhov,Альбом,0.8824817466717464,0.000148357623535,Чехов,4.5,0.2321428571428571,3823,5.883,9.0,0.254,0.776,,,0.1627,0,16,10,0.006
36,Chekhov,Анна на шее,0.8717201904010329,0.0002004553450191,Чехов,4.216,0.1598173515981735,24707,5.513,15.167,0.228,0.535,,,0.1129,28,83,32,0.0104
37,Chekhov,Анюта,0.9038325803841408,0.0001372756563666,Чехов,3.934,0.2230215827338129,7439,5.481,7.329,0.202,0.648,,,0.1035,4,29,18,0.0059
38,Chekhov,Аптекарша,0.9063395209230336,0.0001373074936974,Чехов,4.162,0.2443438914027149,9357,5.641,5.507,0.212,0.651,,,0.0806,6,32,52,0.0016
39,Chekhov,Ариадна,0.8683420577762098,0.0002310831063547,Чехов,4.255,0.2124248496993988,50766,5.426,14.008,0.209,0.47,,,0.1179,48,171,56,0.0148
40,Chekhov,Архиерей,0.8844397361596941,0.0002076493323507,Чехов,3.997,0.215633423180593,29506,5.501,10.831,0.201,0.492,,,0.1199,30,109,66,0.011
41,Chekhov,"Ах, зубы",0.8940793354182104,0.0001279440636055,Чехов,3.777,0.3932584269662921,3999,5.522,6.112,0.204,0.743,,,0.1158,2,8,30,0.0037
42,Chekhov,Бабы,0.8801793989105737,0.0002154877812225,Чехов,4.12,0.1902017291066282,23964,5.368,9.42,0.173,0.558,,,0.094,42,94,39,0.0074
43,Chekhov,Баран и барышня,0.8779763985791104,0.0001279413743151,Чехов,3.95,0.1826086956521739,3534,5.338,4.103,0.21,0.712,,,0.0695,2,17,15,0.0021
44,Chekhov,Барыня,0.8889183466037655,0.0001966646367576,Чехов,4.213,0.3175675675675675,34893,5.295,4.739,0.166,0.491,,,0.086,11,190,278,0.0059
45,Chekhov,Беглец,0.8775077246880524,0.0001389258383039,Чехов,4.029,0.21,13130,5.46,9.194,0.195,0.599,,,0.0996,2,39,34,0.006
46,Chekhov,Беда 1886,0.8861010600106612,0.0001894434142852,Чехов,-1.0,0.3243243243243243,6909,5.523,8.425,0.215,0.708,,,0.1197,16,44,23,0.0084
47,Chekhov,Беда 1887,0.8665892898191491,0.0001559595316788,Чехов,-1.0,0.1870967741935484,11647,5.439,10.59,0.213,0.596,,,0.1126,4,60,12,0.0085
48,Chekhov,Беззащитное существо,0.8889276048809714,0.0001343769888193,Чехов,4.146,0.3630952380952381,8579,5.728,6.698,0.247,0.613,,,0.1087,6,32,41,0.0106
49,Chekhov,Белолобый,0.8622136859485389,0.000151271476164,Чехов,4.22,0.1698113207547169,10006,5.33,12.812,0.165,0.606,,,0.0997,18,21,17,0.0077
50,Chekhov,Беседа пьяного с трезвым чёртом,0.9040945689961168,0.0001561306474356,Чехов,4.273,0.1428571428571428,3549,5.651,6.829,0.247,0.793,,,0.1036,4,14,4,0.0275
51,Chekhov,Брак по расчёту,0.903206237917705,0.0001901100696522,Чехов,4.157,0.2827586206896552,7500,5.668,6.877,0.247,0.68,,,0.1316,4,31,38,0.0189
52,Chekhov,Брожение умов,0.9049197150854268,0.0001705611686009,Чехов,3.927,0.456,6568,5.816,6.984,0.265,0.71,,,0.0977,6,31,53,0.0148
53,Chekhov,Бумажник,0.8902201599076414,0.0001453905549118,Чехов,4.142,0.1666666666666666,4885,5.385,8.613,0.186,0.685,,,0.1208,6,12,7,0.0044
54,Chekhov,В аптеке,0.8999321598452209,0.0001476317877948,Чехов,4.205,0.2123893805309734,7294,5.78,8.143,0.244,0.703,,,0.1067,14,24,16,0.0105
55,Chekhov,В вагоне,0.9040836431405131,0.0001901176475682,Чехов,4.024,0.3423728813559322,9392,5.474,4.237,0.212,0.64,,,0.098,14,41,104,0.0079
56,Chekhov,В овраге,0.8881039138429303,0.0002630612269924,Чехов,4.3,0.2179616548940464,71316,5.323,10.123,0.176,0.415,,,0.1051,60,282,182,0.0081
57,Chekhov,В потёмках,0.8940011688278615,0.0001782072296376,Чехов,4.007,0.3214285714285714,7844,5.342,5.503,0.184,0.647,,,0.0904,4,26,51,0.0064
58,Chekhov,В ссылке,0.8774306533422669,0.0002130557623742,Чехов,4.013,0.2653846153846154,16854,5.154,9.176,0.153,0.543,,,0.1065,22,85,47,0.0094
59,Chekhov,В суде,0.9081396774770922,0.0002338130385862,Чехов,4.054,0.1780821917808219,12519,5.835,11.388,0.269,0.684,,,0.1481,12,64,12,0.0197
60,Chekhov,Ванька,0.8934497274414018,0.00020305407906,Чехов,4.369,0.1219512195121951,7194,5.582,12.0,0.188,0.739,,,0.1024,10,21,5,0.006
61,Chekhov,Ведьма,0.8968712074154388,0.0001865659906204,Чехов,4.174,0.2863961813842482,21733,5.389,7.276,0.197,0.559,,,0.1041,4,76,110,0.0079
62,Chekhov,Верочка,0.8869338751820974,0.0002105298566299,Чехов,4.071,0.2252559726962457,24224,5.588,11.164,0.22,0.575,,,0.1236,16,100,45,0.0144
63,Chekhov,Винт,0.8950650038747595,0.0001288242056426,Чехов,3.966,0.2136752136752136,6579,5.687,7.325,0.266,0.67,,,0.1461,10,19,26,0.0114
