Book ID,Size,Views,Likes,Rating
250183,13028,2867,81,0.02825252877572375
329401,10355,3449,133,0.03856190200057988
346035,6194,1315,8,0.006083650190114068
75067,6291,2748,126,0.04585152838427948
270215,17108,1631,69,0.04230533415082771
161346,25523,2982,101,0.03386988598256204
267749,15246,2048,8,0.00390625
48743,56418,5326,115,0.02159218926023282
63160,35172,7394,147,0.01988098458209359
27140,30494,2137,48,0.022461394478240523
73055,4007,3686,41,0.01112316874660879
339143,15713,1444,34,0.023545706371191136
245592,3305,2278,13,0.005706760316066725
89500,39812,2317,55,0.023737591713422528
77817,6480,3652,96,0.02628696604600219
338748,8749,1637,14,0.00855222968845449
343266,13183,1132,15,0.013250883392226149
201606,27767,2793,5,0.0017901897601145722
79972,34438,5087,46,0.009042657755061922
326138,26756,1342,60,0.044709388971684055
79307,17009,3251,75,0.023069824669332512
206653,23257,2718,99,0.03642384105960265
243036,4882,3198,85,0.026579111944965605
340123,2788,1278,57,0.04460093896713615
32403,1642,7942,134,0.01687232435154873
143769,15347,1625,32,0.019692307692307693
269077,17096,1935,36,0.018604651162790697
58254,70249,5221,70,0.013407393219689714
342880,31647,1106,12,0.0108499095840868
57591,2673,8839,78,0.00882452766150017
235464,2801,3750,73,0.019466666666666667
335262,2500,1674,6,0.0035842293906810036
134468,34022,3494,100,0.028620492272467088
305539,49012,1967,59,0.029994916115912557
344717,99335,1073,4,0.003727865796831314
324485,19696,1294,53,0.04095826893353941
319551,11183,1341,39,0.029082774049217
103889,51834,2910,1,0.0003436426116838488
343627,29023,1196,7,0.005852842809364548
44348,39980,3713,25,0.006733099919202801
222297,19872,2802,21,0.007494646680942184
333959,4691,1390,0,0.0
202930,18830,2681,45,0.01678478179783663
260178,31043,2000,45,0.0225
342601,4794,1384,7,0.0050578034682080926
281760,13310,2398,14,0.005838198498748957
266406,2970,2339,47,0.020094057289439932
44714,58411,4542,47,0.010347864376926464
68352,20079,4911,65,0.013235593565465283
52991,4902,9246,299,0.03233830845771144
284668,39960,1857,24,0.012924071082390954
343883,53768,1059,11,0.010387157695939566
28451,29044,3150,103,0.0326984126984127
264148,43536,1499,27,0.01801200800533689
15727,2711,5920,229,0.03868243243243243
100430,15521,1753,48,0.027381631488876214
219876,1311,5157,102,0.01977894124490983
338750,5311,1507,9,0.005972130059721301
45065,14880,4064,73,0.01796259842519685
356556,62402,1020,5,0.004901960784313725
337454,17232,1608,0,0.0
163346,6157,1944,47,0.02417695473251029
14830,92294,5991,103,0.017192455349691202
230498,43019,2337,74,0.031664527171587506
91161,28636,3414,31,0.00908025776215583
246970,23395,4203,56,0.013323816321674994
285779,6730,2063,65,0.031507513330101794
214571,9076,1580,67,0.04240506329113924
290356,1686,1415,51,0.03604240282685512
58868,148630,4325,112,0.025895953757225434
322853,32484,1627,31,0.019053472649047325
187791,6587,2894,105,0.03628196268140981
341616,7018,1296,46,0.035493827160493825
167112,34010,4435,83,0.01871476888387824
342520,9250,1146,19,0.016579406631762654
264890,15617,2348,33,0.014054514480408859
331046,20626,3443,148,0.042985768225384836
202336,18863,1944,21,0.010802469135802469
29427,39628,4756,65,0.013666947014297728
54476,7288,5069,26,0.0051292168080489245
164901,20499,2811,16,0.005691924581999288
212951,23736,3056,77,0.02519633507853403
28766,17997,3135,100,0.03189792663476874
352819,16017,1086,6,0.0055248618784530384
335475,5828,1250,39,0.0312
259591,87498,1538,15,0.00975292587776333
243006,3039,2893,93,0.03214656066367093
219856,15614,2835,73,0.025749559082892417
284926,6102,3327,90,0.027051397655545536
347154,15361,1004,18,0.017928286852589643
343253,24864,1153,19,0.01647875108412836
213294,32879,2662,82,0.030803906836964687
104592,10916,3535,36,0.010183875530410185
35322,4574,9222,116,0.012578616352201259
34492,46722,2945,59,0.020033955857385398
342687,21495,1224,10,0.008169934640522876
331278,61609,1837,3,0.001633097441480675
159721,9910,2764,27,0.009768451519536902
148353,41444,2495,43,0.017234468937875752
42878,39769,4117,46,0.0111731843575419
333464,20538,1772,25,0.014108352144469526
327390,6573,1125,56,0.049777777777777775
14607,18184,3885,95,0.02445302445302445
245271,21529,2287,42,0.018364669873196328
276432,32936,2213,13,0.00587437867148667
294583,33410,1499,21,0.014009339559706471
263988,36582,1446,40,0.027662517289073305
333163,16826,1599,1,0.0006253908692933083
278746,58346,1329,34,0.025583145221971408
34716,30303,5141,29,0.005640925889904688
285680,23326,1935,30,0.015503875968992248
