Book ID,Size,Views,Likes,Rating,total_words,readability_flesch,readability_fog,pronoun_ratio,adverb_adj_ratio,slang_ratio,metaphor_pair_count,metaphor_pair_ratio,epithet_density,alliteration_ratio,sarcasm_marker_count,sarcasm_marker_ratio,tonal_ambiguity_score,sarcasm_markers,first_person_count,second_person_count,third_person_count,total_personal_pronouns,first_person_ratio,second_person_ratio,third_person_ratio,dialog_total_words,dialog_words,dialog_ratio
250183,13028,2867,81,0.0282525287757237,2005,66.6981677359355,17.006381008369985,0.0,0.7521367521367521,,0,0.0,0.0,0.048730964467005075,0,0.0,0.0,,19,17,66,102,0.18627450980392157,0.16666666666666666,0.6470588235294118,1971,10,0.0050735667174023336
329401,10355,3449,133,0.0385619020005798,1603,54.99979947469441,19.738849041990775,0.0,0.6810810810810811,,0,0.0,0.0,0.05118601747815231,0,0.0,0.0,,43,17,41,101,0.42574257425742573,0.16831683168316833,0.40594059405940597,1603,29,0.018091079226450407
346035,6194,1315,8,0.006083650190114,1043,70.27762625192094,15.682631197781431,0.0,0.7821782178217822,,0,0.0,0.0,0.04523580365736285,1,0.9587727708533077,0.0,ах да,45,4,18,67,0.6716417910447762,0.05970149253731343,0.26865671641791045,1040,5,0.004807692307692308
75067,6291,2748,126,0.0458515283842794,997,63.06011276607998,17.666707614349605,0.0,0.7478260869565218,,0,0.0,0.0,0.04919678714859438,0,0.0,0.0,,49,14,18,81,0.6049382716049383,0.1728395061728395,0.2222222222222222,997,74,0.07422266800401203
270215,17108,1631,69,0.0423053341508277,2586,57.90314820305437,18.237117596165998,0.0,0.7717842323651453,,0,0.0,0.0,0.04469490866692577,0,0.0,0.0,,38,35,74,147,0.2585034013605442,0.23809523809523808,0.5034013605442177,2574,1022,0.39704739704739705
161346,25523,2982,101,0.033869885982562,3872,63.52144859813086,17.358878504672898,0.0,1.0118343195266273,,0,0.0,0.0,0.053746770025839795,1,0.2582644628099174,0.0,ну конечно,48,82,143,273,0.17582417582417584,0.30036630036630035,0.5238095238095238,3871,66,0.017049857917850686
267749,15246,2048,8,0.00390625,2502,69.03737339496739,16.11253115182819,0.0,0.6825396825396826,,0,0.0,0.0,0.048100242522231204,0,0.0,0.0,,160,54,67,281,0.5693950177935944,0.19217081850533807,0.23843416370106763,2489,1356,0.5447971072719968
48743,56418,5326,115,0.0215921892602328,8330,55.7419220832457,19.386077355814095,0.0,0.6646525679758308,,0,0.0,0.0,0.05835034217793252,0,0.0,0.0,,101,79,146,326,0.3098159509202454,0.24233128834355827,0.44785276073619634,8330,192,0.02304921968787515
63160,35172,7394,147,0.0198809845820935,5316,60.35663053884076,18.260125580713403,0.0,0.5665399239543726,,0,0.0,0.0,0.050075301204819275,1,0.18811136192626035,0.0,вот именно,59,41,140,240,0.24583333333333332,0.17083333333333334,0.5833333333333334,5314,49,0.009220925856228829
27140,30494,2137,48,0.0224613944782405,4791,66.22085764556542,16.964146764290522,0.0,1.4610951008645534,,0,0.0,0.0,0.054697286012526096,3,0.6261740763932373,0.0,ах да;смешно;ну конечно,27,27,144,198,0.13636363636363635,0.13636363636363635,0.7272727272727273,4791,48,0.010018785222291797
73055,4007,3686,41,0.0111231687466087,595,50.935013089005224,21.995270506108206,0.0,0.3793103448275862,,0,0.0,0.0,0.05733558178752108,0,0.0,0.0,,9,7,11,27,0.3333333333333333,0.25925925925925924,0.4074074074074074,594,5,0.008417508417508417
339143,15713,1444,34,0.0235457063711911,2506,69.24775659824046,16.242725016918566,0.0,1.1404494382022472,,0,0.0,0.0,0.04750499001996008,1,0.3990422984836393,0.0,ах да,43,29,101,173,0.24855491329479767,0.1676300578034682,0.5838150289017341,2506,37,0.014764565043894652
245592,3305,2278,13,0.0057067603160667,530,57.706974437491695,19.03671947809879,0.0,0.6615384615384615,,0,0.0,0.0,0.03780718336483932,0,0.0,0.0,,0,0,32,32,0.0,0.0,1.0,530,9,0.016981132075471698
89500,39812,2317,55,0.0237375917134225,6205,55.04588179338191,19.4648723722426,0.0,0.531442663378545,,0,0.0,0.0,0.04427209565357893,0,0.0,0.0,,55,40,288,383,0.14360313315926893,0.10443864229765012,0.7519582245430809,6192,1426,0.23029715762273903
77817,6480,3652,96,0.0262869660460021,1035,61.071909253502525,17.067464974662524,0.0,0.8723404255319149,,0,0.0,0.0,0.059961315280464215,0,0.0,0.0,,11,2,48,61,0.18032786885245902,0.03278688524590164,0.7868852459016393,1035,2,0.001932367149758454
338748,8749,1637,14,0.0085522296884544,1374,63.821327486654326,17.169844209608893,0.0,0.575,,0,0.0,0.0,0.052478134110787174,0,0.0,0.0,,33,20,82,135,0.24444444444444444,0.14814814814814814,0.6074074074074074,1374,681,0.49563318777292575
343266,13183,1132,15,0.0132508833922261,1986,56.90909983229753,18.473399192961192,0.0,0.5298804780876494,,0,0.0,0.0,0.05642317380352645,0,0.0,0.0,,14,19,64,97,0.14432989690721648,0.1958762886597938,0.6597938144329897,1986,117,0.05891238670694864
201606,27767,2793,5,0.0017901897601145,4287,56.22911837289476,18.984719374712085,0.0,1.1216216216216217,,0,0.0,0.0,0.04876341577228185,0,0.0,0.0,,68,56,202,326,0.2085889570552147,0.17177914110429449,0.6196319018404908,4287,122,0.028458129227898296
79972,34438,5087,46,0.0090426577550619,5406,65.69841139887632,16.290873850979768,0.0,0.8421052631578947,,0,0.0,0.0,0.05339265850945495,0,0.0,0.0,,92,53,135,280,0.32857142857142857,0.18928571428571428,0.48214285714285715,5397,3117,0.5775430794886047
