ID,Pred_Emotion,Pred_Lexical,Pred_Structure,Pred_BERT,Rating
131,4.362769999999997,4.1546912458863305,4.533,4.039647424885054,4.439
16,3.987440000000001,4.0637879711292815,3.833,4.057400238908024,3.817
246,4.2130200000000055,4.031199304927881,4.201,4.0921671200292105,4.667
143,3.9949600000000007,4.068774907357203,4.068,4.051981276974751,4.167
7,4.257719999999997,4.156453802764234,4.179,4.175009511611933,4.327
199,3.970610000000002,4.059559335853492,3.731,4.1009096729141215,3.5
10,4.118140000000001,4.0325274095706,4.024,3.988927899283575,4.162
256,4.040320000000004,4.102431267958594,4.248,4.015655934866921,4.301
126,3.9944200000000007,4.076261152083288,3.736,4.143277428761927,3.889
255,4.119250000000001,4.025001564092196,3.777,4.135316488261239,4.003
214,3.9667300000000028,4.070864081258918,3.728,4.048997701662331,3.812
156,4.133230000000002,4.131209332863902,3.923,4.041547226378236,3.893
33,4.2253599999999985,4.153986777287514,4.317,4.092750808584065,4.525
225,4.183670000000001,4.132438723923216,4.089,4.071996380575058,4.325
128,4.1255200000000025,4.038039316311493,4.315,4.189731310375066,4.0
60,4.346910000000003,4.140580382404124,4.312,4.076955501967682,4.298
27,3.888420000000002,4.047942527457978,4.369,4.097311489703081,3.892
240,4.12986,4.081842597618818,3.857,4.0712916719444365,4.026
96,4.086850000000002,4.036710286686426,4.274,4.075785382545689,4.176
20,4.153399999999999,4.0458045491723515,4.085,4.13318761462876,4.029
241,4.18117,4.084361487115223,4.029,4.075297804697009,4.291
136,4.0924700000000005,4.072470915925891,3.77,4.043804096439588,4.194
160,4.102540000000004,4.098818616507223,4.29,4.092359823649411,4.317
272,4.044500000000004,4.051358473429251,4.1,3.9787116140498924,3.5
11,4.05403,4.0733587475895465,3.5,4.089276852764919,4.317
253,4.020360000000001,4.115291649283488,3.994,4.08964147988531,4.071
202,4.092870000000004,4.09532679953319,4.12,4.009409866489015,4.322
123,4.195030000000002,4.122641764170624,3.582,4.058340203100941,4.303
83,4.1877699999999995,4.014115307763976,4.117,4.037495204139283,4.075
28,4.038360000000003,4.003517363065689,4.5,4.121935055968883,4.273
141,4.052340000000002,4.059890115862755,4.051,4.084438572321943,4.415
217,4.040919999999999,4.031870407902507,4.413,4.054513996662109,3.983
273,4.01492,4.0948800496589595,3.662,4.079713394411166,3.946
19,4.044040000000001,4.065434952711062,3.5,4.061916092643962,4.213
76,4.11969,4.093664930645794,3.974,4.100250149992462,3.897
66,4.0512900000000025,4.060496322930293,4.045,4.021728228968031,4.473
168,4.0983600000000004,4.030150799062945,4.007,3.9674885089852054,3.857
239,4.051900000000001,4.082931890342943,4.24,4.101986357193682,4.321
130,4.159800000000003,4.12962085113732,4.319,4.112860643555842,4.278
81,4.101730000000001,4.077830512679925,4.255,4.137365922828955,4.12
90,4.148210000000005,4.120998798231666,3.853,4.088107776590516,4.235
50,3.970760000000001,4.055920039059822,4.049,4.098601150949251,4.071
17,4.059940000000002,4.05224750452259,4.242,3.9799384185600886,4.12
104,3.9606400000000033,4.077324982509187,4.038,4.053767111745714,4.431
218,4.209940000000005,4.077543916708189,4.045,4.058273312628735,3.792
196,4.132829999999999,4.0960389995259066,4.431,4.06265322731084,4.389
42,4.103649999999998,4.087178198903889,4.187,4.009485997029086,4.3
145,4.067790000000005,4.1211156080596405,3.582,4.121173169976366,4.006
