Author,Title,Value,Length,Rating
Достоевский,Ёлка и свадьба,0.0967741935483871,15532,4.17
Достоевский,Бедные люди,0.2968377088305489,254072,4.002
Достоевский,Белые ночи,0.3488168273444347,101961,4.223
Достоевский,Бесы,0.1787347300894015,1300178,4.436
Достоевский,Бобок,0.2716297786720322,30227,4.332
Достоевский,Братья Карамазовы,0.20770724726566486,1846193,4.525
Достоевский,Вечный муж,0.23477373256209594,275512,4.533
Достоевский,Господин Прохарчин,0.23703703703703705,65535,3.897
Достоевский,Два самоубийства,0.16,6566,3.889
Достоевский,Двойник,0.18216384376080194,321812,3.704
Достоевский,Дневник писателя,0.13583846236907465,1315224,4.354
Достоевский,Домовой,0.14666666666666667,5570,2.625
Достоевский,Дядюшкин сон,0.3780652115332794,269204,4.315
Достоевский,Записки из подполья,0.22514409221902015,244923,4.303
Достоевский,Игрок,0.21846484165324745,282627,4.278
Достоевский,Идиот,0.2240581155188377,1307580,4.439
Достоевский,Короткая,0.22597676874340025,80155,-1.0
Достоевский,Крокодил,0.20303383897316216,71363,3.832
Достоевский,Маленький герой,0.1371794871794872,76671,4.038
Достоевский,Мальчик у Христа на ёлке,0.2708333333333333,10908,4.418
Достоевский,Неточка Незванова,0.2308635917566241,342027,4.223
Достоевский,Петербургские сновидения в стихах и в прозе,0.16666666666666666,47952,3.481
Достоевский,Подросток,0.1990936780328356,1246059,4.179
Достоевский,Ползунков,0.4919354838709678,28735,3.483
Достоевский,Роман в девяти письмах,0.246031746031746,24147,3.792
Достоевский,Село Степанчиково и его обитатели,0.3108375132998936,429077,4.325
Достоевский,Скверный анекдот,0.15571955719557196,106389,4.196
Достоевский,Слабое сердце,0.3225589225589225,84123,3.954
Достоевский,Сон смешного человека,0.20408163265306126,44609,4.268
Достоевский,Униженные и оскорблённые,0.21658583899127065,727403,4.441
Достоевский,Хозяйка,0.2300695559122525,152999,3.582
Достоевский,Честный вор,0.2535460992907801,30631,3.857
Достоевский,Чужая жена и муж под кроватью,0.4162544169611308,75682,3.925
Гоголь,Вечера на хуторе близ Диканьки,0.3136083628896771,402125,4.266
Гоголь,Вий,0.17849223946784926,74616,4.282
Толстой,Записки сумасшедшего,0.18295739348370926,21833,3.889
Гоголь,Коляска,0.13307984790874525,23221,4.415
Гоголь,Мёртвые души,0.1982518871672626,757969,4.147
Гоголь,Невский проспект,0.2161764705882353,72172,4.206
Гоголь,Нос,0.19852941176470587,49608,4.211
Гоголь,Ночи на вилле,0.10738255033557048,12165,4.206
Гоголь,Ночь перед Рождеством,0.3098712446351931,83226,4.433
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",0.30666666666666664,93121,4.15
Гоголь,Портрет,0.14770459081836326,114356,4.351
Гоголь,Ревизор,0.2358490566037736,138159,4.075
Гоголь,Рим,0.12423625254582485,84485,4.415
Гоголь,Старосветские помещики,0.16890080428954424,46349,4.321
Гоголь,Тарас Бульба,0.2554002541296061,232125,4.282
Гоголь,Шинель,0.08311688311688313,65218,4.208
Горький,Бывшие люди,0.2404482934284259,113351,3.621
Горький,В людях,0.2850467289719626,1191308,4.317
Горький,В степи,0.23980815347721826,21630,2.715
Горький,Вывод,0.1951219512195122,4176,4.132
Горький,Город жёлтого дьявола,0.27884615384615385,22743,4.117
Горький,Двадцать шесть и одна,0.2522796352583587,26313,3.908
Горький,Дело с застёжками,0.20422535211267606,20278,3.5
Толстой,Детство,0.149375,191516,3.994
Горький,Емельян Пиляй,0.3375314861460957,21871,3.833
Горький,Знахарка,0.16783216783216784,19590,3.25
Горький,Коновалов,0.24797507788161996,93136,4.258
Горький,Ледоход,0.2737068965517241,38412,3.648
Горький,Ма-аленькая!...,0.1574074074074074,8182,3.736
Горький,Макар Чудра,0.3746835443037975,23187,3.827
Горький,Мать,0.30276207742348304,560406,3.893
Горький,Мещане,0.2655357742693987,152175,3.982
Горький,Мои университеты,0.2484334684850719,223870,4.317
Горький,На дне,0.3787643588947532,102123,3.902
Горький,На плотах,0.3572744014732965,23031,3.453
Горький,Несвоевременные мысли,0.2977558839627805,254186,3.982
Горький,Озорник,0.24444444444444444,34510,3.375
Горький,Песня о Буревестнике,0.24,1679,4.187
Горький,Песня о соколе,0.1532258064516129,8345,4.035
Горький,Проходимец,0.2245681381957773,66810,3.941
Горький,Рождение человека,0.18779342723004694,17352,3.983
Горький,Сказки об Италии,0.24362850971922245,249473,3.865
Герцен,Скуки ради,0.16046511627906976,90016,3.417
Горький,Старуха Изергиль,0.22827687776141384,40288,4.026
Горький,Страсти-мордасти,0.25894736842105265,26217,4.245
Горький,Фома Гордеев,0.2739491969472605,489007,4.022
Горький,Челкаш,0.27860696517412936,61521,3.833
Горький,Человек,0.611764705882353,11190,4.379
Горький,Ярмарка в Голтве,0.2366412213740458,21001,3.5
Герцен,Доктор Крупов,0.12723214285714285,56950,3.971
Герцен,Долг прежде всего,0.06622516556291391,130607,3.1
Герцен,Елена,0.1862595419847328,64802,3.662
Герцен,Кто виноват,0.17336462305661485,423226,3.853
Герцен,Легенда,0.1066350710900474,52173,3.25
Герцен,Мимоездом,0.16363636363636366,5644,3.75
Герцен,Повреждённый,0.13020833333333334,45485,3.885
Герцен,С того берега,0.20371086200231928,352921,4.583
Герцен,Сорока-воровка,0.14383561643835616,46169,3.869
