Group,MSE,RMSE,MAE,Spearman ρ,Kendall Tau,NDCG
Lexical,0.00010386397543946416,0.010191367692290577,0.008041022275455079,0.22353732622234157,0.15165612771366044,0.8559411981375716
Semantic,0.00010808291567771166,0.010396293362430269,0.00832323667293662,0.18468336954969167,0.12365989686882525,0.8649572595476293
Stylistic,0.00010191605256169692,0.010095348065406013,0.008051895565627583,0.26826838298270433,0.1833899304437925,0.8746186388533705
Syntactic,0.00010528068032493969,0.010260637422935268,0.00817926332962282,0.2416359353177975,0.165026046592989,0.8435249289811907
Ensemble,9.817774624196628e-05,0.009908468410504537,0.007684586173535068,0.3058445046649919,0.21045374377813075,0.8694140174803384
