Book ID,Size,Views,Likes,Rating,overall_sentiment,total_words_emotional,arc_amplitude,arc_polarity_switches,avg_cosine_similarity,sentence_count,avg_adjacent_similarity,std_adjacent_similarity,num_adjacent_pairs
27699,24893,1616,6,0.0037128712871287,neutral,3467,2,1,0.35461143,364,,,0
64909,25584,1860,4,0.0021505376344086,negative,4146,2,0,0.30942458,392,,,0
245544,45086,1428,4,0.0028011204481792,neutral,6192,0,0,0.3459179,398,,,0
14206,35316,2137,0,0.0,neutral,5151,1,0,0.31934294,525,,,0
24522,68917,1651,6,0.003634161114476,neutral,10468,2,4,0.32150874,1162,,,0
33368,38793,1865,5,0.002680965147453,neutral,6004,1,0,0.34832913,780,,,0
38162,37392,1864,7,0.0037553648068669,neutral,5807,0,0,0.32209957,651,,,0
47881,42033,1467,0,0.0,neutral,6863,2,3,0.34213737,865,,,0
67608,32107,1736,15,0.0086405529953917,neutral,4732,2,0,0.33129326,481,,,0
110365,28542,1284,4,0.0031152647975077,neutral,4508,1,0,0.32091475,446,,,0
120222,22892,2020,35,0.0173267326732673,negative,3398,2,2,0.30883652,427,,,0
136775,36530,1217,3,0.0024650780608052,neutral,5308,2,0,0.36022782,473,,,0
192006,94320,1013,4,0.0039486673247778,neutral,14558,2,2,0.3109894,1923,,,0
226949,47405,1220,6,0.0049180327868852,neutral,7386,1,0,0.352591,826,,,0
237276,29562,1019,4,0.0039254170755642,negative,4702,2,1,0.33416143,669,,,0
230663,25536,1138,5,0.0043936731107205,neutral,4211,1,0,0.41571987,290,,,0
281163,131918,1032,2,0.001937984496124,positive,20750,2,2,0.37039164,2094,,,0
20400,32873,1532,3,0.0019582245430809,positive,4790,2,0,0.31816334,502,,,0
170201,20888,1234,0,0.0,neutral,3075,2,0,0.31471676,283,,,0
45931,20095,1689,10,0.0059206631142687,neutral,2952,1,0,0.34098777,347,,,0
86111,56311,1980,26,0.0131313131313131,negative,9189,1,0,0.34497556,855,,,0
220667,47097,1273,4,0.0031421838177533,neutral,6895,2,0,0.3745492,602,,,0
271190,24880,1022,4,0.0039138943248532,positive,3604,2,1,0.32622078,429,,,0
44028,26868,1629,1,0.0006138735420503,neutral,4220,2,3,0.34732392,494,,,0
51554,49057,2325,7,0.003010752688172,neutral,7259,2,2,0.38875562,431,,,0
64327,47611,1822,21,0.0115257958287596,negative,7543,2,1,0.33236822,945,,,0
41022,31996,1554,16,0.0102960102960102,skip,4557,1,0,0.3665947,469,,,0
82410,34048,1397,1,0.0007158196134574,skip,5126,2,0,0.3322889,521,,,0
82786,38711,1559,8,0.005131494547787,negative,5967,1,0,0.3626863,549,,,0
83255,23131,1200,9,0.0075,neutral,3474,1,0,0.30607167,385,,,0
269535,33735,1108,6,0.0054151624548736,negative,5004,1,0,0.32504275,451,,,0
306791,30680,1078,1,0.0009276437847866,skip,4794,1,0,0.38039583,474,,,0
15228,27770,2296,7,0.0030487804878048,neutral,4039,1,0,0.3004573,425,,,0
301510,34862,1141,11,0.0096406660823838,neutral,5190,1,0,0.33916554,431,,,0
302576,39273,1048,13,0.0124045801526717,skip,5782,2,1,0.3082282,729,,,0
142822,70982,1536,3,0.001953125,neutral,10873,2,1,0.33012205,712,,,0
33908,33816,1730,5,0.0028901734104046,skip,5222,1,0,0.3496481,539,,,0
91363,24074,2075,33,0.0159036144578313,skip,3665,2,1,0.33280644,270,,,0
32993,27738,1681,4,0.0023795359904818,neutral,3864,1,0,0.30887166,538,,,0
208557,34516,1095,2,0.0018264840182648,skip,5330,2,1,0.34030947,459,,,0
48723,43445,1644,2,0.0012165450121654,positive,6742,2,2,0.34235293,592,,,0
39801,49638,2406,8,0.0033250207813798,neutral,7997,1,0,0.34148818,1007,,,0
24350,28251,1932,15,0.0077639751552795,neutral,4144,2,1,0.2573771,598,,,0
207315,52088,1057,2,0.0018921475875118,positive,7830,2,0,0.39538282,801,,,0
281237,23433,1064,6,0.0056390977443609,skip,3630,2,1,0.34811676,321,,,0
274564,24207,1454,17,0.0116918844566712,positive,3503,2,1,0.34765744,307,,,0
109584,63910,1824,20,0.0109649122807017,negative,9383,2,0,0.38179275,874,,,0
221308,34843,1131,13,0.0114942528735632,positive,5340,2,4,0.37915987,385,,,0
38892,20630,2386,13,0.0054484492875104,positive,3319,2,1,0.3614583,492,,,0
23605,32516,1933,7,0.0036213140196585,skip,4618,1,0,0.3611631,381,,,0
23254,29739,2134,3,0.0014058106841611,neutral,4535,2,1,0.3689991,360,,,0
25517,31037,1646,5,0.0030376670716889,negative,4902,2,0,0.36143392,485,,,0
31804,52178,2038,24,0.0117762512266928,negative,7783,2,3,0.39495182,910,,,0
36191,45798,1837,11,0.0059880239520958,positive,7247,1,0,0.342872,978,,,0
22260,24200,1675,8,0.004776119402985,neutral,3695,2,0,0.3205439,322,,,0
69718,28691,1561,14,0.0089686098654708,neutral,4243,2,1,0.28936037,416,,,0
79555,54390,1750,3,0.0017142857142857,neutral,8326,2,3,0.29858366,939,,,0
87769,40058,1468,8,0.0054495912806539,speech,5979,2,1,0.2891295,592,,,0
93122,20026,1754,4,0.0022805017103762,skip,3092,1,0,0.3427386,403,,,0
318701,101522,1136,6,0.005281690140845,neutral,15295,2,0,0.32072607,1359,,,0
211128,147964,1155,7,0.006060606060606,positive,22760,2,4,0.33138794,2175,,,0
18965,81492,2467,10,0.0040535062829347,skip,12220,2,0,0.3070358,1572,,,0
140150,22073,3509,42,0.0119692220005699,speech,2989,1,0,0.31173646,253,,,0
303032,21739,1178,20,0.0169779286926994,skip,3077,2,0,0.34495184,276,,,0
167783,32826,1438,12,0.0083449235048678,neutral,4955,2,0,0.3511594,635,,,0
289553,49085,1491,13,0.0087189805499664,negative,7164,1,0,0.36638758,471,,,0
316710,23721,1253,7,0.0055865921787709,positive,3644,2,2,0.3308122,441,,,0
291989,44112,1414,38,0.0268741159830268,neutral,6594,0,0,0.35385582,484,,,0
306094,30773,1342,23,0.0171385991058122,negative,4616,2,1,0.36500418,559,,,0
328328,28093,1088,17,0.015625,skip,4193,1,0,0.32401744,665,,,0
262826,42838,1374,25,0.0181950509461426,neutral,6260,2,0,0.32034805,564,,,0
197087,25186,1670,49,0.0293413173652694,skip,3734,1,0,0.33004716,360,,,0
262888,49492,1405,23,0.0163701067615658,neutral,7078,1,0,0.36360154,359,,,0
339545,37617,1151,5,0.0043440486533449,neutral,5951,1,0,0.35744965,473,,,0
303665,58060,1002,15,0.0149700598802395,skip,8559,2,0,0.32303917,983,,,0
159465,32334,1725,17,0.0098550724637681,negative,4803,1,0,0.34518275,382,,,0
173148,40483,2007,24,0.0119581464872944,neutral,5847,1,0,0.33081162,713,,,0
163267,91493,2087,7,0.0033540967896502,neutral,13120,2,3,0.3454495,702,,,0
38597,24702,2568,19,0.0073987538940809,negative,3757,2,4,0.3209695,402,,,0
64879,22957,4517,56,0.0123976090325437,neutral,3401,2,1,0.33569282,279,,,0
173036,42998,2197,95,0.0432407828857533,negative,6292,2,1,0.34905726,924,,,0
57614,48532,2657,14,0.0052691004892736,positive,7034,2,1,0.2998158,1022,,,0
61312,50992,2047,24,0.011724474841231,neutral,7777,2,3,0.32415292,937,,,0
315534,38475,1371,13,0.0094821298322392,negative,5544,1,0,0.3204455,606,,,0
127434,52430,2650,64,0.0241509433962264,neutral,8219,1,0,0.3447465,900,,,0
67131,59684,3060,52,0.0169934640522875,neutral,9087,2,1,0.34594154,506,,,0
202295,23415,1818,22,0.0121012101210121,skip,3449,1,0,0.3532467,420,,,0
41833,36756,2201,8,0.0036347114947751,neutral,5332,2,1,0.3315376,687,,,0
69691,66612,2086,48,0.0230105465004793,skip,9654,2,0,0.2613103,1242,,,0
62517,47960,3199,106,0.0331353547983744,neutral,7491,2,1,0.3426732,809,,,0
338366,39584,1059,9,0.0084985835694051,neutral,6263,1,0,0.36419448,684,,,0
199016,48324,1788,20,0.0111856823266219,neutral,7468,2,3,0.32041216,1086,,,0
