Book ID,Size,Views,Likes,Rating
78262,35767,1918,3,0.0015641293013555
45607,35768,2377,8,0.0033655868742111
87366,21984,1586,11,0.0069356872635561
146899,23974,1221,5,0.004095004095004
136474,24776,1538,2,0.0013003901170351
205861,43754,1053,10,0.0094966761633428
207813,33877,1547,14,0.0090497737556561
265353,24891,1153,16,0.0138768430182133
277257,48708,1033,11,0.0106485963213939
234681,23886,1078,3,0.0027829313543599
327317,28370,1147,5,0.004359197907585
210916,33558,1106,5,0.0045207956600361
317407,48665,1014,7,0.0069033530571992
30745,20247,1770,4,0.0022598870056497
177159,26169,1104,8,0.0072463768115942
46082,20436,2186,32,0.0146386093321134
188488,29416,1198,3,0.0025041736227045
211490,64956,1249,8,0.0064051240992794
51758,30646,1677,2,0.0011926058437686
211834,37656,1562,16,0.0102432778489116
7542,37343,2726,30,0.0110051357300073
303916,25484,1095,6,0.0054794520547945
79010,29188,2101,42,0.019990480723465
184579,28927,1385,6,0.0043321299638989
44551,32283,2305,28,0.0121475054229934
261612,33941,1084,6,0.0055350553505535
225877,21638,1062,10,0.0094161958568738
86599,74188,1785,29,0.0162464985994397
71983,171721,1523,0,0.0
94750,45741,1408,1,0.0007102272727272
70721,39741,2140,19,0.0088785046728971
128558,28782,1501,0,0.0
150120,37780,1433,5,0.0034891835310537
168095,35859,1262,9,0.0071315372424722
183270,41113,1141,7,0.0061349693251533
190910,31231,1422,22,0.0154711673699015
244678,31591,1370,13,0.0094890510948905
243094,21413,1323,3,0.0022675736961451
12833,46797,2314,9,0.0038893690579083
247174,24657,1421,7,0.0049261083743842
211261,25568,1388,15,0.0108069164265129
293179,47336,1132,7,0.0061837455830388
303354,121340,1165,7,0.0060085836909871
140214,27412,1879,19,0.010111761575306
219364,30939,1128,8,0.0070921985815602
263700,20190,1034,7,0.006769825918762
129157,24219,1337,2,0.0014958863126402
228136,21515,1096,15,0.0136861313868613
164253,21126,1188,8,0.0067340067340067
109002,40526,1687,21,0.0124481327800829
197003,31464,1212,20,0.0165016501650165
260757,24151,1183,10,0.0084530853761623
120050,144393,1875,3,0.0016
144138,45147,1804,14,0.007760532150776
113627,44978,1700,8,0.0047058823529411
224266,39815,1208,11,0.0091059602649006
27292,42180,1857,9,0.0048465266558966
26302,42840,1699,11,0.0064743967039434
28431,20829,2376,25,0.0105218855218855
63728,44833,1702,2,0.0011750881316098
97557,38706,1276,19,0.0148902821316614
148383,49354,1867,24,0.0128548473486877
174293,36228,1188,18,0.0151515151515151
164666,23692,1043,5,0.0047938638542665
196234,115596,1171,5,0.0042698548249359
257466,36939,1159,12,0.0103537532355478
318600,23371,1199,8,0.006672226855713
3245,39874,3298,25,0.0075803517283201
281082,40123,1032,0,0.0
65927,71356,1861,11,0.0059108006448146
19528,39789,1832,2,0.0010917030567685
55150,41354,1483,8,0.0053944706675657
210368,79798,1169,5,0.0042771599657827
27699,24893,1616,6,0.0037128712871287
64909,25584,1860,4,0.0021505376344086
245544,45086,1428,4,0.0028011204481792
14206,35316,2137,0,0.0
24522,68917,1651,6,0.003634161114476
33368,38793,1865,5,0.002680965147453
38162,37392,1864,7,0.0037553648068669
47881,42033,1467,0,0.0
67608,32107,1736,15,0.0086405529953917
110365,28542,1284,4,0.0031152647975077
120222,22892,2020,35,0.0173267326732673
136775,36530,1217,3,0.0024650780608052
192006,94320,1013,4,0.0039486673247778
226949,47405,1220,6,0.0049180327868852
237276,29562,1019,4,0.0039254170755642
230663,25536,1138,5,0.0043936731107205
281163,131918,1032,2,0.001937984496124
20400,32873,1532,3,0.0019582245430809
170201,20888,1234,0,0.0
45931,20095,1689,10,0.0059206631142687
86111,56311,1980,26,0.0131313131313131
220667,47097,1273,4,0.0031421838177533
271190,24880,1022,4,0.0039138943248532
44028,26868,1629,1,0.0006138735420503
51554,49057,2325,7,0.003010752688172
64327,47611,1822,21,0.0115257958287596
41022,31996,1554,16,0.0102960102960102
82410,34048,1397,1,0.0007158196134574
82786,38711,1559,8,0.005131494547787
83255,23131,1200,9,0.0075
269535,33735,1108,6,0.0054151624548736
306791,30680,1078,1,0.0009276437847866
15228,27770,2296,7,0.0030487804878048
301510,34862,1141,11,0.0096406660823838
302576,39273,1048,13,0.0124045801526717
142822,70982,1536,3,0.001953125
33908,33816,1730,5,0.0028901734104046
91363,24074,2075,33,0.0159036144578313
32993,27738,1681,4,0.0023795359904818
208557,34516,1095,2,0.0018264840182648
48723,43445,1644,2,0.0012165450121654
39801,49638,2406,8,0.0033250207813798
24350,28251,1932,15,0.0077639751552795
207315,52088,1057,2,0.0018921475875118
281237,23433,1064,6,0.0056390977443609
274564,24207,1454,17,0.0116918844566712
109584,63910,1824,20,0.0109649122807017
221308,34843,1131,13,0.0114942528735632
38892,20630,2386,13,0.0054484492875104
23605,32516,1933,7,0.0036213140196585
23254,29739,2134,3,0.0014058106841611
25517,31037,1646,5,0.0030376670716889
31804,52178,2038,24,0.0117762512266928
36191,45798,1837,11,0.0059880239520958
22260,24200,1675,8,0.004776119402985
69718,28691,1561,14,0.0089686098654708
79555,54390,1750,3,0.0017142857142857
87769,40058,1468,8,0.0054495912806539
93122,20026,1754,4,0.0022805017103762
318701,101522,1136,6,0.005281690140845
211128,147964,1155,7,0.006060606060606
18965,81492,2467,10,0.0040535062829347
140150,22073,3509,42,0.0119692220005699
303032,21739,1178,20,0.0169779286926994
167783,32826,1438,12,0.0083449235048678
289553,49085,1491,13,0.0087189805499664
316710,23721,1253,7,0.0055865921787709
291989,44112,1414,38,0.0268741159830268
