Book ID,Size,Views,Likes,Rating,TTR,MTLD,YuleK,LexicalDensity,avg_word_length,avg_syllable_count,long_words_ratio,RareWordsPercentage,ClicheRatio,EmotionalWordFrequency
250183,13028,2867,81,0.0282525287757237,0.4108135421930268,149.66774133459427,56.06110241415612,0.631632137443153,5.212733703890854,2.1687721071248105,0.3218797372410308,0.4012127337038909,0.0,0.007074279939363315
329401,10355,3449,133,0.0385619020005798,0.5054382597568778,258.0995208256543,60.28729795588892,0.5879718490083173,5.199616122840691,2.233525271912988,0.327575175943698,0.3889955214331414,0.0,0.008317338451695458
346035,6194,1315,8,0.006083650190114,0.47704590818363274,107.47888337787069,77.4299703985243,0.5528942115768463,4.756487025948104,2.0838323353293413,0.250499001996008,0.3183632734530938,0.0,0.0029940119760479044
75067,6291,2748,126,0.0458515283842794,0.4903357070193286,168.96316745368688,82.37701143239755,0.5920651068158698,4.996948118006104,2.195320447609359,0.29298067141403866,0.31739572736520855,0.0,0.004069175991861648
270215,17108,1631,69,0.0423053341508277,0.3882024711040255,154.9515312600518,58.61401942246653,0.6313272220007972,5.322040653646871,2.3164607413312077,0.34635312873654844,0.40135512156237546,0.0,0.0019928258270227183
161346,25523,2982,101,0.033869885982562,0.3538050734312417,158.24441160750777,60.2565770827503,0.5919893190921228,5.181842456608812,2.2229639519359146,0.32656875834445925,0.41388518024032045,0.000267022696929239,0.004272363150867824
267749,15246,2048,8,0.00390625,0.355564483728405,115.43767803139627,86.68757236541465,0.5664925672961029,4.825231016472479,2.0976295701084773,0.2655685014061872,0.2985134592205705,0.0,0.002812374447569305
48743,56418,5326,115,0.0215921892602328,0.3462349584418807,222.95887696921497,45.640700734926206,0.6347847661580449,5.450068229748171,2.3072819749410742,0.34921225654385313,0.45763552909068356,0.0,0.0034735144523012035
63160,35172,7394,147,0.0198809845820935,0.375986145853377,267.4450702555285,50.09624822775414,0.6755820665768713,5.330767750625361,2.2672695786030403,0.33865691745237636,0.48951318068116223,0.00019241870309794111,0.004810467577448528
27140,30494,2137,48,0.0224613944782405,0.3305249513933895,197.27144603437117,59.02096269020001,0.5932166774681357,5.116439835817671,2.177792179736444,0.3004968675739901,0.36249729963275007,0.0006480881399870382,0.005832793259883344
73055,4007,3686,41,0.0111231687466087,0.6212914485165794,232.20124052377673,55.310374654690875,0.631762652705061,5.521815008726003,2.287958115183246,0.3769633507853403,0.45549738219895286,0.0,0.0017452006980802793
339143,15713,1444,34,0.0235457063711911,0.3935483870967742,170.12388149464104,65.59898543184183,0.6254032258064516,4.975403225806452,2.105241935483871,0.2963709677419355,0.39395161290322583,0.0,0.006048387096774193
245592,3305,2278,13,0.0057067603160667,0.5540540540540541,117.91869918699189,84.00292184075968,0.5598455598455598,5.0,2.0984555984555984,0.26833976833976836,0.32625482625482627,0.0,0.005791505791505791
