Author,Title,Value,Length,HD_D,Average_TFIDF
Blok,Девушка розовой калитки и муравьиный царь,0.125,21631,0.9168796132595413,0.0003119676496874335
Blok,"Ни сны, ни явь",0.08247422680412371,6580,0.9173629008596138,0.00022391241903267154
Blok,"Сказка о той, которая не поймет её",0.043478260869565216,6546,0.8342619653414198,0.00017828586062120015
Blok,Сограждане,0.07246376811594203,5919,0.8930607888330565,0.00018174551219679632
Bryusov,Алтарь победы,0.17845611975344874,864973,0.8944869452557427,0.00030993068581756255
Bryusov,Бемоль,0.07017543859649122,11798,0.8762704577807201,0.00016293109430582232
Bryusov,В башне,0.19801980198019806,9158,0.873097392873017,0.0001886312519318192
Bryusov,В зеркале,0.17391304347826084,22392,0.8447384255227919,0.00021378101363118737
Bryusov,В подземной тюрьме,0.1568627450980392,21733,0.8938973015557456,0.0001609340105181091
Bryusov,Восстание машин,0.13636363636363635,15114,0.9027353078390261,0.00024286547973511842
Bryusov,Гора Звезды,0.1586469747498809,134312,0.8936274361479961,0.00024328440912539385
Bryusov,Декадент,0.15033112582781458,108306,0.8897224631879664,0.00022978007950893488
Bryusov,Дитя и безумец,0.02803738317757009,6129,0.8613129969064275,0.00013472630889865882
Bryusov,За себя или за другую,0.25,16788,0.8702819623975833,0.00013847050701802874
Bryusov,Защита,0.11650485436893206,12320,0.8439319257759379,0.00018739157094391825
Bryusov,Моцарт,0.22308892355694224,113652,0.8988129301753983,0.000153104309014389
Bryusov,Мраморная головка,0.16666666666666666,7268,0.8413608150428673,0.0001607139851725605
Bryusov,Ночное путешествие,0.08333333333333333,8480,0.9014489659854228,0.00021462481760227412
Bryusov,Обручение Даши,0.1797676008202324,112360,0.9109509396067726,0.000216081093739337
Bryusov,Огненный ангел,0.20626702997275204,630611,0.8926181149600241,0.0002962748492840135
Turgenev,Первая любовь,0.12679083094555876,118428,0.864077718088404,0.00023743255890034065
Bryusov,Под Старым мостом,0.10666666666666667,27906,0.8995268599374797,0.00012749725723268314
Bryusov,Последние мученики,0.15705128205128205,23131,0.9069646150804526,0.0002742682541652886
Bryusov,Последние страницы из дневника женщины,0.20726172465960666,100402,0.8635672134111951,0.0001875918619457169
Bryusov,Предсмертный бред Вергилия,0.10743801652892562,10666,0.9289330262044192,0.0002128085795739244
Bryusov,"Рассказы Маши, с реки Мологи, под городом Устюжна",0.09395973154362416,9686,0.8651993491360163,0.00016941386877794567
Bryusov,Республика Южного Креста,0.09848484848484848,45367,0.920798602113706,0.0002915624370913234
Bryusov,Рея Сильвия,0.125,57522,0.8984117900865937,0.00021114552940897874
Bryusov,Семь земных соблазнов,0.14516129032258066,76222,0.9011064890728675,0.0003035756597147875
Bryusov,Сестры,0.2283813747228381,27379,0.882634796812499,0.00020479823048700382
