Author,Title,Value,Length,Normalized_MTTR,Average_TFIDF
Blok,Девушка розовой калитки и муравьиный царь,0.125,21631,0.9747833151103071,0.0003119676496874335
Blok,"Ни сны, ни явь",0.08247422680412371,6580,0.9757777329988285,0.00022391241903267154
Blok,"Сказка о той, которая не поймет её",0.043478260869565216,6546,0.9672394260527213,0.00017828586062120015
Blok,Сограждане,0.07246376811594203,5919,0.9694267120028525,0.00018174551219679632
Bryusov,Алтарь победы,0.17845611975344874,864973,0.9637989457866274,0.00030993068581756255
Bryusov,Бемоль,0.07017543859649122,11798,0.9710697406511807,0.00016293109430582232
Bryusov,В башне,0.19801980198019806,9158,0.971311034818096,0.0001886312519318192
Bryusov,В зеркале,0.17391304347826084,22392,0.9662130530898335,0.00021378101363118737
Bryusov,В подземной тюрьме,0.1568627450980392,21733,0.9718979502960862,0.0001609340105181091
Bryusov,Восстание машин,0.13636363636363635,15114,0.9712516146289268,0.00024286547973511842
Bryusov,Гора Звезды,0.1586469747498809,134312,0.9653230812839327,0.00024328440912539385
Bryusov,Декадент,0.15033112582781458,108306,0.9671214095188099,0.00022978007950893488
Bryusov,Дитя и безумец,0.02803738317757009,6129,0.9656263467568755,0.00013472630889865882
Bryusov,За себя или за другую,0.25,16788,0.9646537585081765,0.00013847050701802874
Bryusov,Защита,0.11650485436893206,12320,0.9666626618542963,0.00018739157094391825
Bryusov,Моцарт,0.22308892355694224,113652,0.9658388942632701,0.000153104309014389
Bryusov,Мраморная головка,0.16666666666666666,7268,0.9674615548103971,0.0001607139851725605
Bryusov,Ночное путешествие,0.08333333333333333,8480,0.9725380162712176,0.00021462481760227412
Bryusov,Обручение Даши,0.1797676008202324,112360,0.9692539527700395,0.000216081093739337
Bryusov,Огненный ангел,0.20626702997275204,630611,0.96702590587877,0.0002962748492840135
Turgenev,Первая любовь,0.12679083094555876,118428,0.9668994324067868,0.00023743255890034065
Bryusov,Под Старым мостом,0.10666666666666667,27906,0.9684545650761537,0.00012749725723268314
Bryusov,Последние мученики,0.15705128205128205,23131,0.9727079775563846,0.0002742682541652886
Bryusov,Последние страницы из дневника женщины,0.20726172465960666,100402,0.9656397620687867,0.0001875918619457169
Bryusov,Предсмертный бред Вергилия,0.10743801652892562,10666,0.9770389825875022,0.0002128085795739244
Bryusov,"Рассказы Маши, с реки Мологи, под городом Устюжна",0.09395973154362416,9686,0.9569503604478219,0.00016941386877794567
Bryusov,Республика Южного Креста,0.09848484848484848,45367,0.9717427009965407,0.0002915624370913234
Bryusov,Рея Сильвия,0.125,57522,0.9667658115274909,0.00021114552940897874
Bryusov,Семь земных соблазнов,0.14516129032258066,76222,0.9708023556012917,0.0003035756597147875
Bryusov,Сестры,0.2283813747228381,27379,0.9665046765563714,0.00020479823048700382
Bryusov,"Теперь, - когда я проснулся...",0.10674157303370786,18008,0.969349117207243,0.00024900834184303695
Bryusov,Через пятнадцать лет,0.1822429906542056,18752,0.9650740667813815,0.00012442256354243996
Bryusov,"Элули, сын Элули",0.1232876712328767,17786,0.9702735185999722,0.00014083891335606966
Bryusov,Юпитер поверженный,0.1828125,292589,0.9652965236292975,0.0002803323745407002
Chekhov,Агафья,0.17717717717717718,18893,0.9706984896887624,0.000157422072144384
Chekhov,Альбом,0.23214285714285715,3823,0.9732313019378365,0.00014835762353500675
Chekhov,Анна на шее,0.1598173515981735,24707,0.9683767232050117,0.00020045534501919612
Chekhov,Анюта,0.22302158273381292,7439,0.9699032060542968,0.00013727565636660567
Chekhov,Аптекарша,0.2443438914027149,9357,0.9700749143750813,0.0001373074936974797
Chekhov,Ариадна,0.2124248496993988,50766,0.9679015350460575,0.0002310831063547613
Chekhov,Архиерей,0.21563342318059303,29506,0.9657487537016599,0.00020764933235075671
Chekhov,"Ах, зубы",0.39325842696629215,3999,0.9704091983530011,0.0001279440636055192
Chekhov,Бабы,0.19020172910662825,23964,0.9675509602975882,0.00021548778122255764
Chekhov,Баран и барышня,0.1826086956521739,3534,0.9655365772592299,0.00012794137431512145
Chekhov,Барыня,0.31756756756756754,34893,0.9663147068507905,0.0001966646367576795
Chekhov,Беглец,0.21,13130,0.9678822393765592,0.00013892583830398794
Chekhov,Беда 1886,0.32432432432432434,6909,0.9708111277197337,0.00018944341428521193
Chekhov,Беда 1887,0.1870967741935484,11647,0.9661215728909707,0.00015595953167885307
Chekhov,Беззащитное существо,0.3630952380952381,8579,0.9660459718997182,0.000134376988819378
Chekhov,Белолобый,0.16981132075471694,10006,0.9658465672171612,0.0001512714761640503
Chekhov,Беседа пьяного с трезвым чёртом,0.14285714285714285,3549,0.9749054914664668,0.00015613064743565694
Chekhov,Брак по расчёту,0.2827586206896552,7500,0.9685843625679413,0.00019011006965226316
Chekhov,Брожение умов,0.456,6568,0.9710904775712715,0.00017056116860093175
Chekhov,Бумажник,0.16666666666666666,4885,0.9669261477667547,0.00014539055491189607
Chekhov,В аптеке,0.21238938053097345,7294,0.971011217725135,0.0001476317877948289
Chekhov,В вагоне,0.3423728813559322,9392,0.969346830695944,0.00019011764756826822
Chekhov,В овраге,0.2179616548940464,71316,0.9658441965725484,0.00026306122699243725
Chekhov,В потёмках,0.32142857142857145,7844,0.969263351513896,0.00017820722963769715
Chekhov,В ссылке,0.2653846153846154,16854,0.9651822589880789,0.00021305576237421492
Chekhov,В суде,0.1780821917808219,12519,0.9732628334385762,0.00023381303858627936
Chekhov,Ванька,0.12195121951219512,7194,0.9726388509892722,0.00020305407906009103
Chekhov,Ведьма,0.2863961813842482,21733,0.9682691239459225,0.00018656599062045825
Chekhov,Верочка,0.2252559726962457,24224,0.9698176038783463,0.0002105298566299919
Chekhov,Винт,0.21367521367521367,6579,0.9676632428315028,0.00012882420564261485
Chekhov,Вишнёвый сад,0.19367209971236815,86929,0.9625498423357947,0.00016449468788471913
Chekhov,Водевиль,0.27167630057803466,6799,0.9691582416960439,0.00016592664588767242
Chekhov,Володя,0.22865013774104684,23420,0.9663476976536776,0.00015372598044913622
Chekhov,Восклицательный знак,0.1935483870967742,8333,0.9653625300621691,0.00014477098230272124
Chekhov,Враги,0.3796791443850268,25317,0.9679915318689283,0.0001846786021874744
Chekhov,Встреча весны,0.1518987341772152,5870,0.9787664749165124,0.00021846858100797107
Chekhov,Выигрышный билет,0.26356589147286824,8572,0.9670868374162249,0.00018273670465168056
