Book ID,Size,Views,Likes,Rating,overall_sentiment,total_words_emotional,arc_amplitude,arc_polarity_switches,avg_cosine_similarity,sentence_count,avg_adjacent_similarity,std_adjacent_similarity,num_adjacent_pairs
91161,28636,3414,31,0.0090802577621558,positive,4335,2,2,0.33508164,415,,,0
246970,23395,4203,56,0.0133238163216749,neutral,3552,2,2,0.30636922,438,,,0
285779,6730,2063,65,0.0315075133301017,neutral,1050,2,1,0.36537254,149,,,0
214571,9076,1580,67,0.0424050632911392,neutral,1317,1,0,0.29067463,116,,,0
290356,1686,1415,51,0.0360424028268551,negative,291,2,2,0.31747094,38,,,0
58868,148630,4325,112,0.0258959537572254,neutral,22310,1,0,0.3712812,2977,,,0
322853,32484,1627,31,0.0190534726490473,positive,4995,2,0,0.37156296,471,,,0
187791,6587,2894,105,0.0362819626814098,positive,1136,2,0,0.39397222,123,,,0
341616,7018,1296,46,0.0354938271604938,neutral,1069,2,0,0.29488942,117,,,0
167112,34010,4435,83,0.0187147688838782,neutral,5168,2,1,0.3058048,580,,,0
342520,9250,1146,19,0.0165794066317626,positive,1463,2,1,0.3338285,175,,,0
264890,15617,2348,33,0.0140545144804088,negative,2552,2,1,0.32183433,393,,,0
331046,20626,3443,148,0.0429857682253848,speech,3010,1,0,0.3831015,189,,,0
202336,18863,1944,21,0.0108024691358024,neutral,2825,2,0,0.30584037,356,,,0
29427,39628,4756,65,0.0136669470142977,positive,5842,2,3,0.27278593,735,,,0
54476,7288,5069,26,0.0051292168080489,neutral,1000,1,0,0.35976866,84,,,0
164901,20499,2811,16,0.0056919245819992,negative,3033,2,0,0.40338385,256,,,0
212951,23736,3056,77,0.025196335078534,negative,3635,2,2,0.30084133,439,,,0
28766,17997,3135,100,0.0318979266347687,negative,2623,1,0,0.39531642,258,,,0
352819,16017,1086,6,0.005524861878453,neutral,2361,2,0,0.31480578,200,,,0
335475,5828,1250,39,0.0312,positive,975,2,2,0.33450562,204,,,0
259591,87498,1538,15,0.0097529258777633,neutral,13478,2,0,0.33914733,2390,,,0
243006,3039,2893,93,0.0321465606636709,neutral,435,2,1,0.38757375,57,,,0
219856,15614,2835,73,0.0257495590828924,skip,2265,2,0,0.37161112,312,,,0
284926,6102,3327,90,0.0270513976555455,negative,980,2,3,0.33281535,113,,,0
347154,15361,1004,18,0.0179282868525896,negative,2426,2,1,0.32777908,240,,,0
343253,24864,1153,19,0.0164787510841283,neutral,3752,1,0,0.35966626,377,,,0
213294,32879,2662,82,0.0308039068369646,skip,4753,2,0,0.32432264,593,,,0
104592,10916,3535,36,0.0101838755304101,skip,1721,2,1,0.31712446,200,,,0
35322,4574,9222,116,0.0125786163522012,negative,701,2,1,0.33570066,98,,,0
34492,46722,2945,59,0.0200339558573853,neutral,6628,2,0,0.2649275,964,,,0
342687,21495,1224,10,0.0081699346405228,positive,3363,2,0,0.31637228,507,,,0
331278,61609,1837,3,0.0016330974414806,skip,9687,2,1,0.3608534,851,,,0
159721,9910,2764,27,0.0097684515195369,neutral,1533,2,0,0.38213888,96,,,0
148353,41444,2495,43,0.0172344689378757,neutral,6022,2,1,0.32136968,339,,,0
42878,39769,4117,46,0.0111731843575419,positive,5740,2,0,0.3474859,669,,,0
333464,20538,1772,25,0.0141083521444695,negative,3036,1,0,0.3641105,289,,,0
327390,6573,1125,56,0.0497777777777777,skip,1007,1,0,0.44109207,76,,,0
14607,18184,3885,95,0.0244530244530244,neutral,2747,2,0,0.33790442,216,,,0
245271,21529,2287,42,0.0183646698731963,skip,3221,1,0,0.39280742,365,,,0
276432,32936,2213,13,0.0058743786714866,positive,5016,2,1,0.3272709,463,,,0
294583,33410,1499,21,0.0140093395597064,neutral,4769,2,1,0.3424944,582,,,0
263988,36582,1446,40,0.0276625172890733,positive,5420,2,2,0.31424075,540,,,0
333163,16826,1599,1,0.0006253908692933,neutral,2461,2,0,0.4354718,357,,,0
278746,58346,1329,34,0.0255831452219714,neutral,8444,1,0,0.32389155,738,,,0
34716,30303,5141,29,0.0056409258899046,neutral,4472,1,0,0.32590693,635,,,0
285680,23326,1935,30,0.0155038759689922,neutral,3593,2,0,0.37577796,483,,,0
305241,4977,1438,57,0.0396383866481223,negative,737,2,1,0.31044313,59,,,0
336405,9980,1445,53,0.0366782006920415,neutral,1436,1,0,0.30246833,146,,,0
344848,11197,1194,11,0.0092127303182579,positive,1751,2,1,0.3630008,278,,,0
345470,6307,1083,15,0.0138504155124653,skip,946,1,0,0.29235938,110,,,0
296209,31584,1714,16,0.0093348891481913,neutral,4995,1,0,0.32877868,722,,,0
28282,16135,2752,108,0.0392441860465116,negative,2560,2,5,0.41279873,381,,,0
331241,46995,1516,19,0.012532981530343,speech,7316,2,1,0.3546065,624,,,0
301509,14291,1748,41,0.0234553775743707,negative,2234,2,2,0.30128253,249,,,0
227012,27998,1874,31,0.0165421558164354,positive,4101,2,1,0.30136847,452,,,0
51063,23879,4314,94,0.0217895224849327,negative,3773,2,0,0.345579,235,,,0
334143,35644,1490,65,0.0436241610738255,negative,5118,2,2,0.3660739,425,,,0
248568,36243,2256,32,0.0141843971631205,skip,5297,1,0,0.34559536,715,,,0
223641,4718,2646,44,0.0166288737717309,neutral,678,2,0,0.3418209,43,,,0
251376,8655,3044,5,0.0016425755584756,neutral,1176,1,0,0.3852111,64,,,0
340637,3437,1407,3,0.0021321961620469,negative,544,2,1,0.37917826,32,,,0
309105,261,1783,6,0.0033651149747616,neutral,62,1,0,0.37860268,6,,,0
116164,7045,2599,47,0.0180838784147749,neutral,1150,1,0,0.37175786,152,,,0
